numero_aviso;fecha_creacion;tipo_carroceria;marca;linea;version;modelo;version_hechos;codigo_irs;nombre_irs;piezas_totales;piezas_cambio;estado_aviso
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02080016nidn;moldura tapabarro delantero izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02080009nitn;moldura costado izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02090050nitn;costado trasero izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02080217ninn;moldura inferior puerta delantero izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02080179nitn;moldura puerta trasero izquierdo superior;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02090146nitn;puerta trasero izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02090067nidn;tapabarro delantero izquierdo;10;10;OBJETADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;02070006nntn;emblema linea;6;6;ENTREGADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;02090113nntn;bomper trasero;6;6;ENTREGADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;03070001ennn;sensores de aproximacion;6;6;ENTREGADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;02070009nntn;emblema version;6;6;ENTREGADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;02090045nntn;compuerta;6;6;ENTREGADO
145303;2024-04-12 08:17:55.709000;;KIA;RIO SPICE R;1.4 TP 1400CC 5P 2AB AA CT R17;2017;el asegurado va por la av regional hay congestion y el tercero no guarda distancia y choca por detras al asegurado. leyb2251 placa eqr875. seguros mindial - vehiculos afectados: no - otros afectados: no;03040055nntn;luz reversa compuerta lado derecho;6;6;ENTREGADO
190875;2024-08-26 11:36:02.121000;;MERCEDES-BENZ;GLE 350D;[C292] COUPE 4MATIC TP 3000CC TD V6;2019;direccion de ocurrencia o referencia: unicentro bogota calle 127 con 15 version de hechos: deje mi vehiculo estacionado y cuando volvi tenia un rayon en el balon trasero y la farola trasera estaba rota. lleve el carro al taller y supera el valor establecido en la poliza danos del vehiculo: rayon bomper trasero y ruptura parcial luz trasera derechas telefono: 3166800173 correo: sac@icemeq.com.co;02090187ndtn;soporte derecho bomper trasero;2;2;OBJETADO
190875;2024-08-26 11:36:02.121000;;MERCEDES-BENZ;GLE 350D;[C292] COUPE 4MATIC TP 3000CC TD V6;2019;direccion de ocurrencia o referencia: unicentro bogota calle 127 con 15 version de hechos: deje mi vehiculo estacionado y cuando volvi tenia un rayon en el balon trasero y la farola trasera estaba rota. lleve el carro al taller y supera el valor establecido en la poliza danos del vehiculo: rayon bomper trasero y ruptura parcial luz trasera derechas telefono: 3166800173 correo: sac@icemeq.com.co;03040038ndtn;stop derecho;2;2;OBJETADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090120nidi;paral delantero izquierdo seccion inferior;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090060ninn;estribo izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02080016nidn;bocel guardafango izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090024nidi;bisagra inferior puerta delantero izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090081nidn;guia lateral izquierdo bomper delantero;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090252nidn;deflector plastico guardafango izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090029nids;bisagra superior puerta delantero izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090067nidn;guardafango izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02090144nidn;puerta delantero izquierdo;10;10;ENTREGADO
178116;2024-07-22 09:15:29.986000;;KIA;PICANTO [3];VIBRANT AT 1250CC 2AB ABS AA R13;2023;venia sobre la autopista sur carril derecho, me ib a a pasar al carril central y tercero no me ve y m e choca;02110009einn;espejo exterior electrico izquierdo;10;10;ENTREGADO
161426;2024-05-31 08:27:37.569000;;HONDA;CRV [5];EXL AT 1500CC T 4X4 6AB TC CT;2019;ubicacion: por la curva que queda saliendo de pereira (risaralda) hacia cartago, por mercasa. hechos: me encontraba saliendo de pereira para cali (valle del cauca), 500m mas o menos antes de llegar a la glorieta para la salida hacia cartago, hay una curva despues de una pendiente. me encontraba bajando dicha pendiente y despues de dicha curva hay dos huecos bastantes profundos (casi en toda la mitad de la via) los cuales, pase con el vehiculo. segui normal con el viaje per despues de pasar por esos dos huecos empezo a quedarse pegada la direccion del vehiculo, no gira bien para el lado izquierdo, junto con esto, llegando a cali, a la hora de guardar el vehiculo, ademas del problema que ya presentaba empezo a tener sonidos raros y fuertes al momento de girar la direccion. danos: en la direccion en general y en la parte de abajo telef: 3183530067 correo elec.: gennerjg8@gmail.com;05070004nnni;caja direccion mecanica;2;2;OBJETADO
161426;2024-05-31 08:27:37.569000;;HONDA;CRV [5];EXL AT 1500CC T 4X4 6AB TC CT;2019;ubicacion: por la curva que queda saliendo de pereira (risaralda) hacia cartago, por mercasa. hechos: me encontraba saliendo de pereira para cali (valle del cauca), 500m mas o menos antes de llegar a la glorieta para la salida hacia cartago, hay una curva despues de una pendiente. me encontraba bajando dicha pendiente y despues de dicha curva hay dos huecos bastantes profundos (casi en toda la mitad de la via) los cuales, pase con el vehiculo. segui normal con el viaje per despues de pasar por esos dos huecos empezo a quedarse pegada la direccion del vehiculo, no gira bien para el lado izquierdo, junto con esto, llegando a cali, a la hora de guardar el vehiculo, ademas del problema que ya presentaba empezo a tener sonidos raros y fuertes al momento de girar la direccion. danos: en la direccion en general y en la parte de abajo telef: 3183530067 correo elec.: gennerjg8@gmail.com;02090289nndi;babero bomper delantero;2;2;OBJETADO
201518;2024-09-24 14:50:12.989704;camioneta;TOYOTA;4RUNNER;4X4 4.0 AUT;2022;dejando el vehiculo estacionado al momento de volver lo encuentro con el parabri sas rayado lado derecho;02110031nnnn;gel adhesivo sensor de lluvia;3;3;ENTREGADO
201518;2024-09-24 14:50:12.989704;camioneta;TOYOTA;4RUNNER;4X4 4.0 AUT;2022;dejando el vehiculo estacionado al momento de volver lo encuentro con el parabri sas rayado lado derecho;02110041nndn;luneta delantero;3;3;ENTREGADO
201518;2024-09-24 14:50:12.989704;camioneta;TOYOTA;4RUNNER;4X4 4.0 AUT;2022;dejando el vehiculo estacionado al momento de volver lo encuentro con el parabri sas rayado lado derecho;02080064nndn;moldura luneta delantero;3;3;ENTREGADO
186068;2024-08-13 10:48:39.373000;;FORD;FUSION [3];TITANIUM TP 2000CC CT T;2015;direccion de ocurrencia o referencia: calle 4 a sur # 37 67 version de hechos: saliendo de la unidad residencial impacte la puerta de acceso ocasionando el dano de la nave lateral frontal derecha danos del vehiculo: dano en nave frontal derecha telefono: 3183414110 correo: nicomunozmorales@gmail.com;02030003iddn;broches guardapolvo plastico delantero derecho;4;4;OBJETADO
186068;2024-08-13 10:48:39.373000;;FORD;FUSION [3];TITANIUM TP 2000CC CT T;2015;direccion de ocurrencia o referencia: calle 4 a sur # 37 67 version de hechos: saliendo de la unidad residencial impacte la puerta de acceso ocasionando el dano de la nave lateral frontal derecha danos del vehiculo: dano en nave frontal derecha telefono: 3183414110 correo: nicomunozmorales@gmail.com;02090066nddn;guardafango derecho;4;4;OBJETADO
186068;2024-08-13 10:48:39.373000;;FORD;FUSION [3];TITANIUM TP 2000CC CT T;2015;direccion de ocurrencia o referencia: calle 4 a sur # 37 67 version de hechos: saliendo de la unidad residencial impacte la puerta de acceso ocasionando el dano de la nave lateral frontal derecha danos del vehiculo: dano en nave frontal derecha telefono: 3183414110 correo: nicomunozmorales@gmail.com;05040071nnni;sensor presion de aire llanta;4;4;OBJETADO
186068;2024-08-13 10:48:39.373000;;FORD;FUSION [3];TITANIUM TP 2000CC CT T;2015;direccion de ocurrencia o referencia: calle 4 a sur # 37 67 version de hechos: saliendo de la unidad residencial impacte la puerta de acceso ocasionando el dano de la nave lateral frontal derecha danos del vehiculo: dano en nave frontal derecha telefono: 3183414110 correo: nicomunozmorales@gmail.com;06040013nddn;valvula sellomatica delantero derecho;4;4;OBJETADO
238036;2025-01-06 12:50:20.289670;pickup;MAZDA;BT 50;CORE 4X4 3.0;2024;andando por la autopista, se escucho un golpe fuerte por debajo de esta, donde a l cabo de unos segundos se prendio el testigo del aceite, al revisarla por debaj o, se puede apreciar que le falta un trozo de la pieza que cubre la caja de la c amioneta. tambien a causa del golpe y detener la camioneta al momento, no se per cataron y golpearon el pick up de esta misma. - el dano se ve, en la caja de cam bio de la camioneta por debajo de esta, ya que se ve la corona y los engranajes. tambien presenta d;05070015nndi;diferencial del. del.;4;4;OBJETADO
238036;2025-01-06 12:50:20.289670;pickup;MAZDA;BT 50;CORE 4X4 3.0;2024;andando por la autopista, se escucho un golpe fuerte por debajo de esta, donde a l cabo de unos segundos se prendio el testigo del aceite, al revisarla por debaj o, se puede apreciar que le falta un trozo de la pieza que cubre la caja de la c amioneta. tambien a causa del golpe y detener la camioneta al momento, no se per cataron y golpearon el pick up de esta misma. - el dano se ve, en la caja de cam bio de la camioneta por debajo de esta, ya que se ve la corona y los engranajes. tambien presenta d;05070116nndn;aceite de diferencial;4;4;OBJETADO
238036;2025-01-06 12:50:20.289670;pickup;MAZDA;BT 50;CORE 4X4 3.0;2024;andando por la autopista, se escucho un golpe fuerte por debajo de esta, donde a l cabo de unos segundos se prendio el testigo del aceite, al revisarla por debaj o, se puede apreciar que le falta un trozo de la pieza que cubre la caja de la c amioneta. tambien a causa del golpe y detener la camioneta al momento, no se per cataron y golpearon el pick up de esta misma. - el dano se ve, en la caja de cam bio de la camioneta por debajo de esta, ya que se ve la corona y los engranajes. tambien presenta d;02090050nitn;costado tras. izq.;4;4;OBJETADO
238036;2025-01-06 12:50:20.289670;pickup;MAZDA;BT 50;CORE 4X4 3.0;2024;andando por la autopista, se escucho un golpe fuerte por debajo de esta, donde a l cabo de unos segundos se prendio el testigo del aceite, al revisarla por debaj o, se puede apreciar que le falta un trozo de la pieza que cubre la caja de la c amioneta. tambien a causa del golpe y detener la camioneta al momento, no se per cataron y golpearon el pick up de esta misma. - el dano se ve, en la caja de cam bio de la camioneta por debajo de esta, ya que se ve la corona y los engranajes. tambien presenta d;02090054nitn;corner costado izquierdo;4;4;OBJETADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02030024nnni;broches moldura puerta;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;05060066nini;tijera delantero inferior izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02030007indn;broches bomper delantero;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02090190nidn;soporte izquierdo bomper delantero;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;05020004nidn;brazo de la direccion izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02030004iidn;broches guardapolvo plastico delantero izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02090005nidn;absorbedor de impacto izquierdo bomper delantero;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02030013nnnn;broches de ampliacion;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02090074nidn;guardapolvo plastico delantero izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;05060002nidn;amortiguador delantero izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02080016nidn;bocel guardafango izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;05020013nidn;terminal de direccion izquierdo;13;13;ENTREGADO
245521;2025-01-24 09:41:05.023000;;HYUNDAI;TUCSON [4];NX ADVANCE MT 2000CC 4X2 2AB ABS;2022;voy calle 50 sentido oriente occidente sobre la derecha de la via y al tratar de tomar la kra 56b desde la derecha hacia la izquierda, cuando estoy cruzando la via una moto que viene por el carril izquierdo de la calle 50 me impacta con su parte delantera en mi parte lateral izquierda. rc del asegurado por falta de precauci?n - vehiculos afectados: no - otros afectados: no;02090067nidn;guardafango izquierdo;13;13;ENTREGADO
119073;2024-01-22 11:15:14.739000;;CHEVROLET;ONIX [2];LTZ TP 1000CC T 4P 6AB ABS;2023;direccion: autopista de cerritos hechos: iba conduciendo detras de un vehiculo y ese vehiculo levanto una piedra que colisiona con mi panoramico. danos: vidrio panoramico;02110041nndn;vidrio panoramico delantero;2;2;OBJETADO
119073;2024-01-22 11:15:14.739000;;CHEVROLET;ONIX [2];LTZ TP 1000CC T 4P 6AB ABS;2023;direccion: autopista de cerritos hechos: iba conduciendo detras de un vehiculo y ese vehiculo levanto una piedra que colisiona con mi panoramico. danos: vidrio panoramico;04030002nnnn;pegante vidrio;2;2;OBJETADO
101723;2023-11-27 17:12:21.066000;;CHEVROLET;EQUINOX [3];PREMIER TP 1500CC T 4X4;2020;lugar: en el centro comercial vivi envigado hechos: estaba en el centro comercial vivi envigado y saliendo me di contra una columna danando la puerta trasera del lado del conductor y cuando quise reversar le di a una moto con la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper danos: la puerta trasera del lado del conductor y la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper;02090190nidn;soporte izquierdo bomper delantero;9;9;ENTREGADO
101723;2023-11-27 17:12:21.066000;;CHEVROLET;EQUINOX [3];PREMIER TP 1500CC T 4X4;2020;lugar: en el centro comercial vivi envigado hechos: estaba en el centro comercial vivi envigado y saliendo me di contra una columna danando la puerta trasera del lado del conductor y cuando quise reversar le di a una moto con la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper danos: la puerta trasera del lado del conductor y la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper;02080024nitn;moldura puerta trasero izquierdo;9;9;ENTREGADO
101723;2023-11-27 17:12:21.066000;;CHEVROLET;EQUINOX [3];PREMIER TP 1500CC T 4X4;2020;lugar: en el centro comercial vivi envigado hechos: estaba en el centro comercial vivi envigado y saliendo me di contra una columna danando la puerta trasera del lado del conductor y cuando quise reversar le di a una moto con la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper danos: la puerta trasera del lado del conductor y la parte de adelante a la moto no le paso nada solo a mi carro se le dano la farola una parte del bomper;02090146nitn;puerta trasero izquierdo;9;9;ENTREGADO
